sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa::00307,"Karen proposed to her boyfriend last night. She walked right up to him and got down on one knee. He was so shocked, he started crying. People clapped and cheered when he nodded and said yes.",1.0,content_diversity,"Karen's boyfriend was embarrassed and later rejected Karen, after he thought about it.",Karen's boyfriend was so moved that he decided to surprise her with a special ring his great Grandmother when aboard the Titanic.,"Karen Later changed her mind, she admitted she was rash and didn't want to marry him after all.",Karen's father was so angry when he heard about the proposal that he refused to pay for the wedding.,"Karen's boyfriend was so pleased that he asked if they could get married right away, so they eloped right after getting the wedding license.",-0.068,0.902,-0.277,1.910,0.382,4.961,0.992,-0.501,35.848,0.588
test.sa-sb.sa::00308,Jane was a substitute teacher. She had to teach a first grade class. One of the kids kept eating glue. Jane kept making him stop.,1.0,content_diversity,Jane took the kid to the school clinic to have the kid checked by a medical professional.,Jane took the glue away from the kid and then the kid cried.,The kid eventually followed Jane's instruction and stopped eating the glue.,Jane asked for help from another teacher to make the kid stop since the kid does not listen to her.,"Jane lost patience and shout at the kid, the kid cried, the parents knew about it and asked the school to fire Jane for her behavior.",-0.120,0.888,-0.345,1.886,0.377,4.999,1.000,-0.463,31.184,0.547
test.sa-sb.sa::00308,Jane was a substitute teacher. She had to teach a first grade class. One of the kids kept eating glue. Jane kept making him stop.,0.0,content_diversity,"After several attempts to talk to the kid without success, Jane decided to confiscate the glue despite the kid's tantrums.",The kid made a fuss and cried loudly after Jane removed from his possession the glue that he was eating during class.,Jane decided to put the glue away from the child's reach to make him stop although it made the kid cry.,The kid cried after Jane confiscated the glue.,The kid did not like it when Jane took away the glue to stop him from eating it.,-0.106,0.886,-0.415,2.487,0.497,4.754,0.951,-0.709,30.894,0.533
test.sa-sb.sa::00309,I woke up with my arm hurting everyday for a week. I did not know why. I used a camera to record myself sleeping. I solved the mystery.,1.0,content_diversity,I saw that I always roll over the side of my bed on top of one of my arm which affect the blood circulation on that arm.,"I saw that our five dogs, which are all a little heavy, go to my bed to sleep on my arm and then leave early morning.",I realized I have really bad sleeping position.,"I saw that my little brother sneaked into my room and played with his toys, with my arm as their battlefield.",I saw that I sleep walk and hit my arm by the door as I go out and hit it again as I go back to my bed.,-0.091,0.863,-0.245,2.087,0.417,4.004,0.801,-0.382,37.803,0.663
test.sa-sb.sa::00310,Elroy was printing out papers for his presentation. Halfway through it his printer stopped working. It said it needed yellow ink even though the prints were in black. Elroy was really upset and threw the printer against the wall.,0.0,content_diversity,People thought this was scary behavior and his boss said he had to let him go.,This was just too much for his coworkers so management terminated his employment.,"Some in the office said he seemed crazed, he soon lost that job.",It was kind of shocking to folks so he was given the axe.,The scene caused fear and discomfort and resulted him being laid off.,-0.026,0.952,-0.331,2.351,0.470,4.599,0.920,-0.584,18.952,0.512
test.sa-sb.sa::00311,I grilled some steaks for my friends the other day. I bought some real nice cuts from the store. I spent all day grilling them. I forgot to take them off the grill.,1.0,content_diversity,The steaks were a total loss.,I had to order pizza after I burned the steaks.,The dogs ate good today.,I had to take my friends out to eat after I ruined the steaks I was grilling.,My friends no longer come to my house for cook outs.,-0.037,0.915,-0.325,2.338,0.468,4.913,0.983,-0.319,16.729,0.597
test.sa-sb.sa::00311,I grilled some steaks for my friends the other day. I bought some real nice cuts from the store. I spent all day grilling them. I forgot to take them off the grill.,0.0,content_diversity,"After I ruined the steaks, I took my friends to a nice steakhouse.","After spending alot of money on steaks, I had to spend more to take my friends out to eat.",We all went to the steakhouse to eat instead,We had a great night out eating after I burned the steaks.,"Instead of making my friends eat the overcooked steaks,I treated them to a real steak dinner.",-0.068,0.906,-0.430,2.665,0.533,4.933,0.987,-0.684,20.274,0.520
test.sa-sb.sa::00312,Sam had never been to a fancy restaurant. He realized they had valet parking. He was ashamed of his modest car. He could also not afford to tip.,1.0,content_diversity,Sam decided to look for another restaurant where he is more comfortable to park.,Sam parked somewhere else and walked back to that fancy restaurant.,Sam scoured his wallet for a tip and decided to tip based on what he can afford and not what was expected of him.,Sam just asked the parking guy if he can park the car by himself instead of asking him to park it for him since he cannot afford to tip.,Sam neglected his budget and just decided to tip generously to compensate for his modest car.,-0.073,0.901,-0.270,1.850,0.370,4.784,0.957,-0.458,29.936,0.587
test.sa-sb.sa::00314,Janet bought a new jacket. It fit her a bit loose. Luckily it was washable. She decided to shrink it that way.,1.0,content_diversity,"When washed it shrank down to a toddler size, she threw it away.","When it was washed, the color bled out and it was pink.","When washed, it fit her perfectly.",Washing it actually caused the seams to loosen and it was bigger.,Washing it caused it to bleed vermilion color staining her sheets.,-0.083,0.901,-0.338,1.998,0.400,4.977,0.995,-0.462,16.469,0.499
test.sa-sb.sa::00314,Janet bought a new jacket. It fit her a bit loose. Luckily it was washable. She decided to shrink it that way.,0.0,content_diversity,"The jacket was suddenly even bigger, she couldn't wear it at all.","The loose seams (from washing) actually came apart, embarrassing Janet.","The loose seams (from the laundry)  exposed her skin around the arms, looking bad.","The larger jacket didn't shrink, so Janet gave it to her sister.",The Jacket was even larger so Janet took it back to get a refund.,-0.055,0.913,-0.291,1.896,0.379,4.892,0.978,-0.328,27.029,0.530
test.sa-sb.sa::00317,Sam was supposed to meet friends for dinner. When he arrived nobody else was there. He got a table and waited. Nobody got there for a while.,0.0,content_diversity,The waitress was very chatty talking with Sam at the table.,Same was alone and the waiter began to walk over.,The waiter asked Sam what he would like to eat.,The waiter was in a rush and was rude to Same for not ordering.,The waiter asked Sam to leave for not ordering.,-0.085,0.879,-0.395,2.037,0.407,4.973,0.995,-0.411,15.045,0.519
test.sa-sb.sa::00318,I have been looking for a new job. My friend told me about a job fair. I decided to go check it out. They had a lot of employers there.,1.0,content_diversity,I met a peculiar company representative who was very interested in my resume.,"None of the employers, however, had open positions in my field.","After walking around the job fair, I realized my friend was one of the employers at the job fair.","I met with many prospective employers, and left the job fair with three job offers!","Once I arrived, I realized I had forgotten my resume.",-0.057,0.898,-0.312,2.510,0.502,4.945,0.989,-0.349,23.451,0.510
test.sa-sb.sa::00319,"Harry was a chimney sweep. At most houses, when he brought out his vacuum, the cats would run. However, at one, the cat was always very interested in everything. He liked to go to that house.",0.0,content_diversity,The cat was absent one day.,He missed the cat when he wasn't around the next visit.,He was surprised to see the house empty during the next trip.,"When the cat was gone, Harry was disappointed.",But the cat wasn't there every time.,-0.067,0.916,-0.373,2.782,0.556,4.931,0.986,-0.468,13.275,0.443
test.sa-sb.sa::00320,"Lea and Sean bought tickets to a painting class. They painted a picture of the Chicago skyline. Sean added fireworks to his picture. After the class, they went to a bar and had cocktails.",1.0,content_diversity,They talked about what they had painted.,Lea thought her painting was not very exciting.,Sean said he had fun painting and would like to do it again.,They sat ii silence and watched the other people drinking at the bar.,They were both tired and wanted to go home.,-0.017,0.968,-0.277,2.222,0.444,4.946,0.989,-0.203,10.418,0.372
test.sa-sb.sa::00321,Connie was in the mall. She was shopping for a pair of new shoes. Connie walked to the shoe store. She tried on several pairs of shoes.,1.0,content_diversity,She didn't find any that she liked.,"Of the shoes she tried on, she liked one the best and bought it.",She couldn't decide and asked the salesperson if she could see some more shoes.,"But as she was trying on the shoes, she found she had a hole in her socks and left the store a little embarrassed.",She saw a friend in the store and started a conversation with her.,-0.057,0.927,-0.244,2.217,0.443,4.778,0.956,-0.311,17.345,0.469
test.sa-sb.sa::00322,Sarah wanted to go on a hot air balloon. Her boyfriend was afraid of heights. Sarah convinced him to go up anyway. He clung to the edge with an intense grip.,1.0,content_diversity,"Sarah shoved him out of the air baloon, and he fell to his death.","Sarah decided just before they went up that he was too scared, and cancelled plans.","Sarah's boyfriend got so scared that he jumped out of the baloon right at the last second, and it went up with him.",Sarah and her boyfriend wound up ballooing around the world for the rest of their lives.,As quickly as she could Sarah jumped out of the balloon and her boyfriend wound having to ride by himself.,-0.082,0.889,-0.221,2.053,0.411,4.994,0.999,-0.440,29.084,0.619
test.sa-sb.sa::00322,Sarah wanted to go on a hot air balloon. Her boyfriend was afraid of heights. Sarah convinced him to go up anyway. He clung to the edge with an intense grip.,0.0,content_diversity,The balloon ride led to a successful travel agency they run today called Balloon's R Us.,"Sarah's boyfriend left her because she forced him to go, they sometimes write but rarely ever see each other.","The balloon was soon caught in a wind storm, and they were swept miles off course.","The balloon is now in a museum, as her boyfriend wound up creating new inventions in balloon rides that we use today","We don't talk about that anymore, it ended in two very gruesome deaths by ninjas.",-0.030,0.954,-0.142,2.263,0.453,4.972,0.994,-0.203,37.497,0.636
test.sa-sb.sa::00323,Jerry was guilted into going to his aunt's funeral. He barely knew her. Once there he didn't recognize anybody. He eventually realized he was at the wrong funeral.,1.0,content_diversity,"He jumped up, screaming, afraid of the strange body in front of him.","Jerry suddenly was overcome with grief, at his lost relationship with his aunt, he began crying uncontrollably.","Jerry, was embarrassed and sat frozen in disbelief as the horror unfolded before him.","The body in the coffin suddenly raised, lurched toward him, and Jerry ran screaming from the Funeral.","Jerry began laughing uncontrollably at the hilarity of the circumstances, he laughed so hard he cried and luckily the other mourners thought he was overcome with grief.",-0.045,0.922,-0.283,2.696,0.539,4.932,0.986,-0.426,38.951,0.649
test.sa-sb.sa::00323,Jerry was guilted into going to his aunt's funeral. He barely knew her. Once there he didn't recognize anybody. He eventually realized he was at the wrong funeral.,0.0,content_diversity,"Jerry began laughing when he realized where he was and the person beside him looked askance, asked him if he were alright and he said he was just overcome.","Jerry thought the whole thing was funny, he fought to hold back the laughter, became red faced, and the person beside him offered him a tissue.","Jerry was laughing so hard at the circumstances that he couldn't be still, got up and left while it APPEARED he was overcome.","Jerry fought back the laughter as much as possible but suddenly laughed loudly, luckily people thought it was just nervous laughter at the circumstance.","Jerry thought it was hilarious but because of the solemnity of the situation, made himself be as quiet as possible until the time to leave came.",-0.081,0.882,-0.245,2.013,0.403,4.794,0.959,-0.617,42.682,0.562
test.sa-sb.sa::00324,Sam felt bad. He went to the doctor. The doctor told Sam he had a cold. Sam took a couple of days off.,0.0,content_diversity,He rested and felt better.,He was back to health quickly.,The cold was gone in a few days.,He spent a lot of time sleeping and felt better.,Rest seemed to do the trick.,-0.037,0.933,-0.364,1.984,0.397,4.984,0.997,-0.536,9.457,0.411
test.sa-sb.sa::00325,Kim had a drinking problem. Her friends and family got together to help. They all talked to Kim and tried to be comforting. Kim understood they were right.,1.0,content_diversity,Kim got help and eventually stopped drinking,Kim's friends and family provided more support and things got better,"Nevertheless, Kim didn't want them in her business",Kim's friends and family were happy to be of help to her,"Kim felt like a disappointment, got depressed and committed suicide",-0.051,0.911,-0.234,2.125,0.425,4.185,0.837,-0.353,19.090,0.530
test.sa-sb.sa::00325,Kim had a drinking problem. Her friends and family got together to help. They all talked to Kim and tried to be comforting. Kim understood they were right.,0.0,content_diversity,"However, Kim told them not to bother about her","Notwithstanding, Kim felt they're invading her privacy","Despite that, Kim asked that they leave her alone","Even so, Kim's friends and family were shocked that their help was not welcomed","Irrespective of that, Kim requested that they let her live her life as she wanted",-0.043,0.947,-0.359,1.639,0.328,4.351,0.870,-0.423,13.867,0.396
test.sa-sb.sa::00326,Kara and her friend Jill loved the county fair. They go to the fair every year. The girls have fun on the rides. They eat cotton candy and hot dogs.,1.0,content_diversity,"Unfortunately, Kara got sick so she couldn't go with Jill to the county fair.","Due to a calamity, the county fair got cancelled for the time being but Kara and Jill decided to still spend the day together.",Kara invited Jill to go the county fair this year as part of their yearly tradition.,Kara got a stomach ache for eating too much candies and hot dogs.,Kara and Jill had a really fun and memorable day at the county fair.,-0.095,0.886,-0.312,2.354,0.471,4.700,0.940,-0.428,31.697,0.556
test.sa-sb.sa::00327,Kate slept on a couch in a suite in Las Vegas. There weren't enough beds for everyone. Kate was always stiff after a night of sleeping on a couch. However today she only had a slightly stiff neck.,1.0,content_diversity,She was thankful for the extra pillows that she used.,She decided to skip yoga that morning.,She offered to take another night on the couch instead of trading.,She attributed the difference to the CBD she took the night before.,She was ready to sight see.,-0.055,0.931,-0.314,1.940,0.388,4.978,0.996,-0.162,11.363,0.406
test.sa-sb.sa::00327,Kate slept on a couch in a suite in Las Vegas. There weren't enough beds for everyone. Kate was always stiff after a night of sleeping on a couch. However today she only had a slightly stiff neck.,0.0,content_diversity,She decided she didn't need to stretch.,She slept in a little later and didn't go to yoga.,"Since yoga wasn't neccessary, she slept in.",She was thankful to skip yoga and have some extra time to get ready.,She wouldn't need yoga to fix her stiffness.,-0.058,0.927,-0.315,2.526,0.505,4.875,0.975,-0.497,14.564,0.441
test.sa-sb.sa::00328,"My teacher was going over yesterday's homework. She's writing the solutions on the board. Afterwards, she started to discuss today's lesson. I was drowsy.",1.0,content_diversity,I fell asleep and the teacher got mad so she asked me to get out of the room.,I wanted to wake myself up so I asked for permission to go to the restroom.,I told my teacher I am not feeling well so she sent me to the clinic.,I raised my hand as I wanted to wake myself up by engaging and participating in class.,I made it seem that I was reading my notes or writing on my paper but I was sneaking in a few naps once in while.,-0.090,0.884,-0.273,1.505,0.301,4.926,0.985,-0.421,25.746,0.644
test.sa-sb.sa::00330,A little baby boy named James was just starting to walk. He loved learning to walk so much that he would giggle as he stood. Sometimes James would even try to chase his mommy as he played. One time though James fell because he got too excited as he walked.,1.0,content_diversity,James learned a valuble lesson that day,James had to be rushed to a nearby hospital,The mommy vowed to keep james as safe as possible from now on,This was one of many misfortunes to befall james that day,James was upset for a while untill his mommy took him out for icecream,-0.031,0.944,-0.133,2.428,0.486,4.997,0.999,-0.290,19.112,0.764
test.sa-sb.sa::00330,A little baby boy named James was just starting to walk. He loved learning to walk so much that he would giggle as he stood. Sometimes James would even try to chase his mommy as he played. One time though James fell because he got too excited as he walked.,0.0,content_diversity,James's day only got worse from there,James streak of bad luck was just beginning,James would continue to have a bad day,This was one of James's worse day,James ran into many more problems the rest of the day,-0.038,0.941,-0.225,2.626,0.525,4.574,0.915,-0.657,16.837,0.648
test.sa-sb.sa::00331,Kate's mom bought a new house. The house was older. It wasn't in good shape. It needed a lot of work.,1.0,content_diversity,Kate and her mom fixed up the place.,Kate didn't like it and moved to her dad's house.,They hired contractors and soon it was like new.,"It wasn't the best house, but they were happy to have a home.",Kate and her mom enjoyed the first night in their new home.,-0.057,0.915,-0.335,2.416,0.483,4.962,0.992,-0.368,17.132,0.504
test.sa-sb.sa::00331,Kate's mom bought a new house. The house was older. It wasn't in good shape. It needed a lot of work.,0.0,content_diversity,They went to the hardware store the next day for supplies.,Kate decided to take a course in carpentry to help out.,"Eventually, they had their perfect home for just them.",The first thing they did was repaint the walls.,Kate and her mom learned many things about repairing a house.,-0.014,0.969,-0.301,2.720,0.544,4.959,0.992,-0.308,15.047,0.470
test.sa-sb.sa::00332,It had been raining for days. Sam's house was fairly low. It flooded within the second day. Sam had to evacuate on the third day.,1.0,content_diversity,Sam could not find a place to evacuate to.,Sam evacuted to a hotel.,Sam decided to evacuate to his parents house.,Sam had to use a boat to evacuate.,Sam drowned while trying to evacuate.,-0.129,0.878,-0.467,1.795,0.359,4.982,0.996,-0.409,10.330,0.397
test.sa-sb.sa::00332,It had been raining for days. Sam's house was fairly low. It flooded within the second day. Sam had to evacuate on the third day.,0.0,content_diversity,The water level was so high a boat had to be used.,The coast gaurd had to be called in to resue sam with a boat.,A neighbor evacuated sam with his boat.,"By the third day, Sams house was only accessible by boat.","If it wasnt for the inflatible raft sam owned, he would have drowned trying to evacuate.",-0.043,0.931,-0.197,2.348,0.470,4.995,0.999,-0.387,22.252,0.636
test.sa-sb.sa::00334,The man cooked some beans. It took a lot of time to get them cooked. He thought that it was a waste of energy. He read about soaking beans.,1.0,content_diversity,The man ate the beans and enjoyed them.,The beans turned out to not be very tasty.,The man took a nap instead of eating the beans.,The man served the beans to his friends.,The man dropped the beans on the floor.,-0.113,0.894,-0.513,1.401,0.280,4.963,0.993,-0.496,8.462,0.325
test.sa-sb.sa::00334,The man cooked some beans. It took a lot of time to get them cooked. He thought that it was a waste of energy. He read about soaking beans.,0.0,content_diversity,The man was disappointed in how the beans turned out.,The beans were not very good given all the effort that went into them.,The man did not enjoy eating the beans.,The man didn't like the beans and so fed them to his dog.,The beans wound up in the garbage after the man tasted them.,-0.093,0.911,-0.470,1.568,0.314,4.914,0.983,-0.654,8.224,0.284
test.sa-sb.sa::00335,"Ed saw a fight in the school cafeteria. People were taking photos of the fight. Ed wanted to stop the fight, not take photos. Ed went in between the two students.",1.0,content_diversity,One of the students hit Ed in the face which knocked Ed out of consciousness.,Ed was able to separate the students and discuss alternative solutions.,Ed was able to calm the students down.,Ed had no choice but to hit one of the students.,Ed was not able to stop the fight and ran to get the principal.,-0.129,0.862,-0.399,1.955,0.391,4.941,0.988,-0.441,16.531,0.459
test.sa-sb.sa::00336,"My dog followed me everywhere, today. We went exploring in the woods. He liked to run around the trees and dig through fallen leaves. I had trouble keeping up.",1.0,content_diversity,It started to rain so we had to go back home.,"I found a bench to sit on, so my dog could stay there longer.","We came across another dog, so I let them play for awhile.","It started getting chilly, so I took my dog to the pet store.","I was getting tired, so I told my dog we would come back again soon.",-0.062,0.922,-0.363,2.350,0.470,4.927,0.985,-0.310,21.037,0.489
test.sa-sb.sa::00337,Ken loved his favorite comedy. He excitedly showed it to his girlfriend. She watched it all the way through without laughing. Ken nervously asked if she liked it.,1.0,content_diversity,His girlfriend said she hated it.,His girlfriend asked him why he thought it was funny.,She decided she didn't want to talk about it and went to bed.,"His girlfriend laughed, saying she was pulling a prank on Ken by not laughing.",She said she was confused and didn't understand the jokes.,-0.056,0.923,-0.376,1.904,0.381,4.468,0.894,-0.338,14.883,0.480
test.sa-sb.sa::00337,Ken loved his favorite comedy. He excitedly showed it to his girlfriend. She watched it all the way through without laughing. Ken nervously asked if she liked it.,0.0,content_diversity,Sadly she said she didn't care for it.,Ken's girlfriend thought it was the worst thing she'd ever seen.,His girlfriend uncomfortably told him she didn't like it.,Ken was disappointed when she said she wanted to watch something else.,"She said it wasn't funny, much to Ken's dismay.",-0.052,0.924,-0.350,2.866,0.573,4.855,0.971,-0.535,15.660,0.412
test.sa-sb.sa::00338,Tucker is sitting home one night bored. He gets a text from his friend Sherry. She asks him to come out dancing with her. Tucker agrees and heads out to meet her.,0.0,content_diversity,They danced all night.,They had fun dancing until the bar closed.,It was a great time.,For hours they danced and danced.,A long night of dancing was just what they needed.,-0.021,0.958,-0.401,2.366,0.473,4.449,0.890,-0.480,10.767,0.538
test.sa-sb.sa::00339,"Corina enjoyed painting. She needed a new set of paintbrushes. Corina's birthday was coming up. For her birthday, her parents bought her a new set of brushes.",0.0,content_diversity,Corina used the brushes immediately to paint a beautiful picture,Corina painted a picture with them right away,Corina immediately painted a picture of her parents to thank them,Corina started painting a new picture with the brushes that same day,Corina put her present to use right away by painting a amazing painting,-0.090,0.882,-0.493,1.870,0.374,4.771,0.954,-0.735,16.611,0.489
test.sa-sb.sa::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",1.0,content_diversity,the car started,the car still would not start,I treat the person to food after,we became friends,I was glad to get help from a stranger,-0.028,0.956,-0.149,2.594,0.519,4.832,0.966,-0.124,9.335,0.622
test.sa-sb.sa::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,the car is jumped,the jump start was a success,my car is able to run again,it was a successful jumpstart,the car starts operating again,-0.053,0.913,-0.409,2.173,0.435,4.762,0.952,-0.489,8.481,0.652
test.sa-sb.sa::00791,Jane wanted to surprise her husband who was coming home from the army. She thought of what her husband would want. She bought him a new tv because she knew that he watched a lot of tv. John came home and was surprised at the new tv.,0.0,content_diversity,John counted his blessings when he found out his wife scrimped and saved for his TV.,John knew he would love Jane forever when he saw her thoughtful gift.,Jane was such a gem that John told her he was the luckiest man alive.,John was speechless when he saw the TV and knew Jane had gone without to save for it.,John told Jane that he couldn't believe there was an angel like her on earth.,-0.066,0.911,-0.277,2.415,0.483,4.993,0.999,-0.392,25.091,0.545
test.sa-sb.sa::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,1.0,content_diversity,we both like reading.,we both like this new book.,i decided to stop reading together with my daughter,we decided to join a book club,I figure it may be a good for my daughter to do a book report,-0.069,0.897,-0.384,1.936,0.387,4.854,0.971,-0.400,10.707,0.487
test.sa-sb.sa::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,the student was expelled,the student was warned,the student suffered some discipline,the student got sent to detention,the student was crying,-0.211,0.816,-0.581,1.475,0.295,4.955,0.991,-0.408,7.665,0.590
test.sa-sb.sa::00794,"My cat woke me up this morning. She jumped on my bed and started meowing in my face. I did not want to get up, but she wouldn't go away. Finally, I pulled off the covers and followed her to her food bowl.",0.0,content_diversity,She did help me start my day sooner rather than later.,It's good she got me up sooner than later to start my plans.,Good thing she woke me up or I would have missed my appointment.,At the very least I can appreciate her not letting me waste my day.,At least my cat can wake me up to begin the day.,-0.070,0.910,-0.339,2.666,0.533,4.911,0.982,-0.577,17.564,0.517
test.sa-sb.sa::00795,"Renny had a favorite cup he used every day. One day she told her son to put it in the sink for her. Her son grabbed the cup and walked towards the sink. On his way there, he tripped on a toy that was left on the ground.",1.0,content_diversity,He fell and broke his foot,He caught himself in time,She picked up all the toys after than,They remembered to pick up toys after that,She yelled at him about his toys,-0.025,0.952,-0.266,1.319,0.264,4.873,0.975,-0.248,8.916,0.743
test.sa-sb.sa::00796,Sam's girlfriend was a hoarder. He kept trying to get her to get rid of stuff. ONe day there was a fire. All her stuff burned up fast.,1.0,content_diversity,she threw them out the window,she tried to put the fire out,they were all destroyed,she could not do anything,she saves the most valuable,-0.034,0.956,-0.232,1.960,0.392,4.861,0.972,-0.205,9.260,0.926
test.sa-sb.sa::00797,My first taste of champagne was unique. I had bought a bottle of pink alcohol. It was very fruity and delicious. I loved how bubbly it was.,0.0,content_diversity,"The wine was so good, I drank it all in one night.","Somehow, I ended up drinking the whole bottle.",The bottle was empty by the end of the night.,My roommate and I finished the entire bottle.,I ended up very drunk after finishing off the whole bottle.,-0.070,0.906,-0.437,2.467,0.493,4.807,0.961,-0.593,15.504,0.517
test.sa-sb.sa::00799,I was walking with my foreign language exchange partner. We exchanged a few words. She made a small grammar mistake in her speech. I politely corrected her.,0.0,content_diversity,she said thank you,she appreciates it,she was appreciative of my help,she express her appreciation for my help,she was glad I helped her,-0.061,0.919,-0.167,2.472,0.494,4.711,0.942,-0.726,7.601,0.760
test.sa-sb.sa::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,0.0,content_diversity,I told the dog to go bring me the ball from the bag and he understood what I said.,"Even when I whispered to the dog, he knew what I was saying because he was really intelligent.","The dog was really smart and if I looked at something, he would go get it.",I've never seen a dog as smart as this one because he knew everything I said to him.,"I wish I could have a dog this smart, who I could talk to when I'm lonely.",-0.068,0.901,-0.339,2.524,0.505,4.727,0.945,-0.604,24.889,0.519
test.sa-sb.sa::00801,Nate's girlfriend was high maintenance. He tried buying generic cereal. It made her very upset. She only ate name brand cereal.,1.0,content_diversity,she did not like this cereal,they broke up,the cereal taste good,this cereal taste better though,he thought it was not logical to not like better taste and price cereal.,-0.053,0.915,-0.234,1.954,0.391,4.165,0.833,-0.395,12.034,0.669
test.sa-sb.sa::00805,Sam is having a sleepover. Her friends are telling ghost stories. Sam hears a noise and screams. Her friends all laugh at her.,0.0,content_diversity,she did not care,she did not give a damn,she was not fazed,she is not affected by that,she is still fine,-0.098,0.879,-0.377,1.963,0.393,4.934,0.987,-0.519,6.644,0.949
test.sa-sb.sa::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,1.0,content_diversity,Tim thew a perfect game and everyone cheered him on.,"On his last throw, Tim missed the pins entirely.",Everyone cheered as he threw the last ball.,Tim finally managed to throw a perfect game.,The alley threw him a party for a perfect game.,-0.062,0.906,-0.343,2.570,0.514,4.979,0.996,-0.484,18.846,0.571
test.sa-sb.sa::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,1.0,content_diversity,The man decided to research how to paint a truck so he wouldn't screw it up again.,The man asked his friend to help him the next time he painted his truck.,The man checked out the paint and used the wrong kind for a vehicle.,The man used primer the next time but the truck still looked terrible.,The man was really grateful to his friend for telling him about primer.,-0.082,0.895,-0.371,1.807,0.361,4.949,0.990,-0.389,25.410,0.605
test.sa-sb.sa::00807,The man painted a truck. The paint peeled. A friend suggested primer. The man used primer the next time.,0.0,content_diversity,The man didn't want to lose any more money on paint so he pulled up some painting instructions.,The man used the internet to see what other people did when they painted their vehicles.,The man printed some step-by-steps for do-it-yourselfer's to make sure he did it right this time.,The man went to the library to see if he could find a book on painting trucks so he wouldn't mess it up.,The man called his friends and wrote down everything they said to do a nice job the second time.,-0.069,0.923,-0.301,1.866,0.373,4.979,0.996,-0.350,27.281,0.496
test.sa-sb.sa::00808,"For Haun, snacks are important for watching movies. He gets the same snacks every time he's at the cinema. Haun orders lemonade, popcorn, and gummy bears. Today he also got a hot dog.",1.0,content_diversity,"He walked as fast as possible to the theater, so he can start eating his snacks.",His movie was about to start so he rushed over to his seat.,"As he reached his seat, he realised he forgot to put some ketchup on his hot dog.","He walked slowly to his seat, trying not to drop his snacks.",He also wanted to get some Raisinets but they were out of it.,-0.063,0.917,-0.266,2.304,0.461,4.982,0.996,-0.324,21.322,0.576
test.sa-sb.sa::00810,Shawn needs a new look for school. After school he dyes his hair. The next day at school everyone laughs at him. Shawn tries to wear a ball cap over his hair.,1.0,content_diversity,people did not notice,he later decides he could care less,he was asked to remove the cap in school,he likes his new hair though,the girls like his new hair though,-0.053,0.902,-0.201,2.382,0.476,4.723,0.945,-0.282,13.803,0.690
test.sa-sb.sa::00810,Shawn needs a new look for school. After school he dyes his hair. The next day at school everyone laughs at him. Shawn tries to wear a ball cap over his hair.,0.0,content_diversity,he decides to not care what people think,he realize he should care less about what people said,he stop caring about those people's jokes,"he decides he like his hair, that is enough",he decides to ignore the nonsense jokes,-0.080,0.903,-0.326,1.549,0.310,4.711,0.942,-0.476,15.162,0.659
test.sa-sb.sa::00812,"I got called to the office during class. I walked out and stopped at my locker. Just as I was trying to open my door, the teacher walked out. He said my name and my locker popped open and hit my knee.",1.0,content_diversity,It hurt so much and made me so nervous I almost wet my pants.,I bent over to grab my knee and I hit my head on the locker door.,When it hit my knee I lost my balance and rolled onto the floor.,My hurt knee felt better when the teacher said the principal had chosen me for an award.,I was so startled my books flew out of my hand and hit my teacher in the head.,-0.067,0.921,-0.274,2.168,0.434,4.919,0.984,-0.369,24.787,0.590
test.sa-sb.sa::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,0.0,content_diversity,They were able to win the war,Everyone was pleased with the win,The war ended with their winning,The war was finally won,So glad they won the war,-0.055,0.917,-0.394,2.398,0.480,4.715,0.943,-0.704,9.887,0.761
test.sa-sb.sa::00814,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,1.0,content_diversity,he moved the dog outside,he got the dogs treated,he was not pleased,he decides to shave the dog,he wonders if that affects him in someway,-0.057,0.941,-0.283,2.407,0.481,4.902,0.980,-0.193,8.841,0.737
